model,logloss_mean,logloss_std,acc_mean,acc_std,auc_macro_mean,auc_macro_std,prauc_macro_mean,prauc_macro_std,auc_discharge,auc_floor,auc_icu,prauc_discharge,prauc_floor,prauc_icu,brier_discharge,brier_floor,brier_icu,bss_discharge,bss_floor,bss_icu,prevalence_discharge,prevalence_floor,prevalence_icu
logreg,0.648389298249388,0.18310867074970713,0.8432510885341074,0.05195398939237323,0.9115522884068202,0.04135458414816822,0.8204433041609349,0.06754546737870933,0.9252474323062557,0.8840386442825467,0.9253707886316583,0.9283822864202762,0.7075960530323837,0.8253515730301444,0.09017463792796022,0.11301730880841118,0.05401349773771025,0.6003325841366105,0.2954025516234542,0.560586153595767,0.6551523947750362,0.19920174165457186,0.14564586357039186
rforest,0.3295023527231559,0.045412191439179905,0.9121190130624093,0.03668171516266036,0.9566688758153733,0.021334587061310313,0.9061346091316704,0.034488176764427426,0.9577964519140989,0.9514317389927147,0.9607784365393061,0.971776180044945,0.8546639452025409,0.8919637021475257,0.05910789640388312,0.06600262503165534,0.03305258168712285,0.7382862327587434,0.5869758987747893,0.7309760241949969,0.6551523947750362,0.19920174165457186,0.14564586357039186
hgb,0.4613883702235375,0.08956579774855096,0.896589259796807,0.01937332489873746,0.9386786297796215,0.028585360941288596,0.8730241744439328,0.017256933225856814,0.9450140056022409,0.9236870446626544,0.9473348390739694,0.9506713619698637,0.811013430045632,0.8573877313163027,0.0545076826997851,0.07850623990332423,0.04794735543245824,0.7585936235785574,0.5083277189486684,0.6104884932452278,0.6551523947750362,0.19920174165457186,0.14564586357039186
