model,logloss,accuracy,macro_auc,macro_prauc,prevalence_kraken,auc_kraken,prauc_kraken,brier_kraken,bss_kraken,prevalence_triton,auc_triton,prauc_triton,brier_triton,bss_triton,prevalence_coral,auc_coral,prauc_coral,brier_coral,bss_coral
logreg,2.029037975134285,0.4222222222222222,0.5940957190957191,0.47988654136868697,0.5333333333333333,0.6686507936507937,0.7873840533389731,0.27884034333533225,-0.1203406651866028,0.26666666666666666,0.5858585858585857,0.43845596887663923,0.3751937686904669,-0.9186044989853419,0.2,0.5277777777777777,0.21381960189044852,0.2467856407711141,-0.5424102548194627
rforest,0.98758136363541,0.5333333333333333,0.6749772860883972,0.5125697531560384,0.5333333333333333,0.8015873015873016,0.8549793274984172,0.220552473257398,0.11385166994795448,0.26666666666666666,0.6893939393939394,0.43371762740183795,0.18324704760509117,0.06294123383760208,0.2,0.5339506172839505,0.24901230456786014,0.18188855612543056,-0.1368034757839407
hgb,1.3858705834918905,0.5555555555555556,0.678250761584095,0.5360508431538166,0.5333333333333333,0.8015873015873016,0.8431122515784419,0.19922364877717721,0.1995478397345558,0.26666666666666666,0.6868686868686869,0.5249338037853054,0.23943256849175856,-0.2243710888783108,0.2,0.5462962962962963,0.24010647409770217,0.24288958710882713,-0.5180599194301694
