model,logloss_mean,logloss_std,argmax_acc_mean,argmax_acc_std,auc_macro_mean,auc_macro_std,brier_kraken,brier_triton,brier_coral,brier_none,entropy_mean
logreg,1.3385360877222925,0.010022048314235693,0.5592162554426705,0.04993375934512337,0.704200501474957,0.03664304500006083,0.27738699066824424,0.1133864861272998,0.13411621459679873,0.09231139837007672,1.3103759290561499
rforest,1.3312135089110118,0.007174733763388103,0.5899854862119013,0.03176580516743865,0.6798857248043662,0.04169914814848083,0.2958031245040492,0.1165176256947936,0.1343550742861885,0.09669131594067207,1.3472719241149282
hgb,1.3331337348771026,0.010464615575816044,0.5670537010159652,0.028528363320749983,0.7073727942486009,0.0371115094995016,0.27575411025528807,0.11327083040936219,0.13250073398778692,0.09342314452692879,1.313157124207183
