model,prevalence,accuracy,roc_auc,pr_auc,log_loss,brier,bss,sensitivity,specificity,ppv,npv,tp,tn,fp,fn
logreg,0.5333333333333333,0.6666666666666666,0.6329365079365079,0.7686431675213239,1.0881989683396895,0.27700118841286364,-0.11295120344454146,0.5,0.8571428571428571,0.8,0.6,12,18,3,12
rforest,0.5333333333333333,0.6444444444444445,0.7876984126984127,0.8339561464972649,0.6024282622067465,0.20519802161569095,0.1755436631512417,0.4166666666666667,0.9047619047619048,0.8333333333333334,0.5757575757575758,10,19,2,14
hgb,0.5333333333333333,0.8,0.8253968253968254,0.8772283375207748,0.6463477660902618,0.17716674282740463,0.2881693368541778,0.75,0.8571428571428571,0.8571428571428571,0.75,18,18,3,6
