model,logloss,accuracy,macro_auc,macro_prauc,prevalence_none,auc_none,prauc_none,brier_none,bss_none,prevalence_kraken,auc_kraken,prauc_kraken,brier_kraken,bss_kraken,prevalence_triton,auc_triton,prauc_triton,brier_triton,bss_triton,prevalence_coral,auc_coral,prauc_coral,brier_coral,bss_coral
logreg,2.1634601841258005,0.35135135135135137,0.6002958415333277,0.3576469769447196,0.3918918918918919,0.6421455938697318,0.5903697231605658,0.2639821485217501,-0.10771359793494528,0.32432432432432434,0.54,0.3966604078874773,0.2805487830906471,-0.28023761350365306,0.16216216216216217,0.6532258064516129,0.3024465792461317,0.23375379069066096,-0.7204781691156712,0.12162162162162163,0.5658119658119658,0.14111119748470352,0.14715340613013944,-0.3774564990916982
rforest,1.2194373684230517,0.3783783783783784,0.6951385145413231,0.4066169393142628,0.3918918918918919,0.7088122605363985,0.6212516039512133,0.21144132783958508,0.11275654310377936,0.32432432432432434,0.6141666666666667,0.4124747655979615,0.22163755565963478,-0.01140604566013348,0.16216216216216217,0.7567204301075269,0.3521493637586071,0.1264700581632666,0.06915317405638732,0.12162162162162163,0.7008547008547008,0.2405920239492693,0.11141298864522194,-0.04290175354057313
hgb,1.7020643994007667,0.43243243243243246,0.6849542642347147,0.4182619663445298,0.3918918918918919,0.7011494252873564,0.5988908052187735,0.2544334099645877,-0.06764548120006308,0.32432432432432434,0.7258333333333333,0.5772679657635685,0.22999926002932705,-0.04956328993382919,0.16216216216216217,0.685483870967742,0.3084367315181269,0.17066879018822081,-0.25615899875093695,0.12162162162162163,0.6273504273504273,0.18845236287765024,0.15851398752729406,-0.4837993088879695
