model,prevalence,accuracy,roc_auc,pr_auc,log_loss,brier,bss,sensitivity,specificity,ppv,npv,tp,tn,fp,fn
logreg,0.6081081081081081,0.6351351351351351,0.6781609195402298,0.7311087259083322,0.7378754647105408,0.24434618108504572,-0.02531776829249832,0.6666666666666666,0.5862068965517241,0.7142857142857143,0.53125,30,17,12,15
rforest,0.6081081081081081,0.6486486486486487,0.7172413793103449,0.791319299776858,0.6120260351130792,0.21236727012724904,0.10887113316719099,0.6222222222222222,0.6896551724137931,0.7567567567567568,0.5405405405405406,28,20,9,17
hgb,0.6081081081081081,0.6081081081081081,0.6842911877394636,0.771461392472699,0.8406624834114296,0.2657703282576999,-0.11521710156257847,0.6888888888888889,0.4827586206896552,0.6739130434782609,0.5,31,14,15,14
