model,logloss,accuracy,macro_auc,macro_prauc,prevalence_discharge,auc_discharge,prauc_discharge,brier_discharge,bss_discharge,prevalence_floor,auc_floor,prauc_floor,brier_floor,bss_floor,prevalence_icu,auc_icu,prauc_icu,brier_icu,bss_icu
logreg,0.32440866607071606,0.8888888888888888,0.9573970279233438,0.884452749631321,0.7333333333333333,0.9747474747474747,0.9917936230436228,0.06646877503489138,0.6601028549352146,0.15555555555555556,0.9774436090225564,0.8917233560090703,0.05898060360114402,0.5509935252168547,0.1111111111111111,0.92,0.7698412698412698,0.04603199443764191,0.5339260563188757
rforest,0.32152844152308196,0.8888888888888888,0.9782620693147009,0.9239995248954624,0.7333333333333333,0.9898989898989898,0.9962659739537865,0.052360725108931964,0.732246292056598,0.15555555555555556,0.9548872180451127,0.8328754578754578,0.07283635988647781,0.44551267379655046,0.1111111111111111,0.99,0.9428571428571428,0.03825353594532635,0.6126829485535707
hgb,0.5920954101538525,0.8666666666666667,0.8675065188223083,0.6431944561862301,0.7333333333333333,0.9267676767676767,0.944397677057209,0.034988387144719066,0.8210821111917775,0.15555555555555556,0.8007518796992481,0.41255411255411256,0.12217862111207724,0.06988079792497581,0.1111111111111111,0.875,0.5726315789473684,0.0815135068137508,0.17467574351077308
