criterion,stage,threshold,sensitivity,specificity,precision,f1
youden,drug,0.572066603131326,0.6815286624203821,0.7692307692307693,0.816793893129771,0.7430555555555556
youden,kraken,0.5167206340668167,0.6551724137931034,0.8585858585858586,0.7307692307692307,0.6909090909090909
youden,triton,0.5709323377864124,0.39215686274509803,0.6875,0.5714285714285714,0.46511627906976744
max_f1,drug,0.1894212940515518,1.0,0.009615384615384616,0.6038461538461538,0.7529976019184651
max_f1,kraken,0.5167206340668167,0.6551724137931034,0.8585858585858586,0.7307692307692307,0.6909090909090909
max_f1,triton,0.20171489507321147,1.0,0.0,0.5151515151515151,0.6799999999999999
sens_at_least_90,drug,0.29561421315130815,0.9044585987261147,0.16346153846153846,0.6200873362445415,0.7357512953367874
sens_at_least_90,kraken,0.19263783133058687,0.9137931034482759,0.23232323232323232,0.4108527131782946,0.5668449197860963
sens_at_least_90,triton,0.34864124840054495,0.9019607843137255,0.0625,0.5054945054945055,0.647887323943662
