model,logloss_mean,logloss_std,acc_mean,acc_std,auc_macro_mean,auc_macro_std,prauc_macro_mean,prauc_macro_std,auc_discharge,auc_floor,auc_icu,prauc_discharge,prauc_floor,prauc_icu,brier_discharge,brier_floor,brier_icu,bss_discharge,bss_floor,bss_icu,prevalence_discharge,prevalence_floor,prevalence_icu
logreg,0.41133084867437686,0.14715579564634143,0.9108870967741935,0.023317471443227347,0.8883599287047563,0.06677458505454051,0.8303823382117782,0.08254542737354999,0.8978571428571428,0.9086019536019535,0.8586206896551725,0.9247115799982872,0.7690743235259363,0.7973611111111112,0.06365225037801067,0.060633891102857516,0.03272204676415731,0.6370688320250594,0.48822087876452913,0.5863970441474102,0.7707661290322582,0.14012096774193547,0.08911290322580645
rforest,0.3437249677870172,0.06749502684001679,0.9108870967741935,0.03709677419354839,0.9266727599773577,0.0584744668985372,0.8950100549744274,0.07538488088156542,0.9333333333333333,0.9432366707366707,0.903448275862069,0.9658202082133253,0.835400432900433,0.8838095238095238,0.06555898125014735,0.06046066321694392,0.032077821911613964,0.6268488875613059,0.48344680718973543,0.6104060220549715,0.7707661290322582,0.14012096774193547,0.08911290322580645
hgb,0.6426190120025753,0.2266574414665128,0.8213709677419356,0.03377482514737409,0.8768698680523392,0.055616107309174184,0.6969066715555614,0.08795489807998533,0.8988869047619048,0.8481430606430607,0.8835796387520525,0.9500976332167168,0.6045112703388565,0.5361111111111111,0.07964365760870076,0.10640666798072725,0.07712586008825895,0.5450999919574245,0.10172044028549172,0.046097915773417576,0.7707661290322582,0.14012096774193547,0.08911290322580645
