model,prevalence,prevalence_mean,accuracy_mean,roc_auc_mean,pr_auc_mean,log_loss_mean,brier_mean,bss_mean,sensitivity_mean,specificity_mean,ppv_mean,npv_mean,prevalence_std,accuracy_std,roc_auc_std,pr_auc_std,log_loss_std,brier_std,bss_std,sensitivity_std,specificity_std,ppv_std,npv_std
logreg,0.6015325670498084,0.6015239477503629,0.6439767779390422,0.6515120967741936,0.7158043024515468,0.8393174689398692,0.2603540885503766,-0.08698255031522859,0.6639112903225806,0.6161904761904762,0.7273217009916094,0.5574308450170518,0.007532502214648801,0.06408885212676099,0.08900451751637106,0.07466469031532016,0.18203095739187403,0.043732703189503605,0.1850049894498778,0.11926489636386148,0.13277433842166436,0.056012710656396326,0.08424859279197658
rforest,0.6015325670498084,0.6015239477503629,0.6972423802612482,0.7225100806451612,0.8085922906437363,0.6106228929812427,0.2091073965506423,0.12721871741926954,0.7207661290322582,0.6652380952380952,0.7713755062142159,0.6243122009569377,0.007532502214648801,0.03779901490173308,0.04238503982856372,0.05764898808020519,0.03442359722453366,0.013740034019257608,0.05966291833274117,0.10945556903187507,0.11432142299281461,0.049776479782235046,0.0730228378921732
hgb,0.6015325670498084,0.6015239477503629,0.6320754716981132,0.6593289170506912,0.7567869893125715,0.9474309961248158,0.275542965949691,-0.1502024833074606,0.6889112903225807,0.55,0.7052993282645604,0.5406583598956824,0.007532502214648801,0.04842746754894777,0.06356137885557912,0.053954100516051956,0.19248168572671076,0.03801224211899758,0.16072845616860348,0.08949796386454893,0.15215757436829008,0.06249278697844968,0.07606237601225635
